date,rank,songs,artist
1977,90,Walk This Way,Aerosmith
1977,92,Year Of The Cat,Al Stewart
1977,93,Boogie Nights, Heatwave
1977,94,Go Your Own Way,Fleetwood Mac
1977,95,Sorry Seems To Be The Hardest Word,Elton John
1977,96,Don't Worry Baby,B.J. Thomas
1977,97,"Knowing Me, Knowing You",ABBA
1977,98,How Much Love,Leo Sayer
1977,99,Theme From Star Wars,London Symphony Orchestra
1977,100,Devil's Gun,C.J. & Company
1978,1,Shadow Dancing,Andy Gibb
1978,2,Night Fever,Bee Gees
1978,3,You Light Up My Life,Debby Boone
1978,4,Stayin' Alive,Bee Gees
1978,5,KISS YOU ALL OVER,Exile
1978,6,How Deep Is Your Love,Bee Gees
1978,7,Baby Come Back,Player
1978,8,Love Is Thicker Than Water,Andy Gibb
1978,9,Boogie Oogie Oogie,A Taste Of Honey
1978,10,Three Times A Lady,Commodores
1978,11,Grease,Frankie Valli
1978,12,I Go Crazy,Paul Davis
1978,13,You're The One That I Want,John Travolta & Olivia Newton-John
1978,14,Emotion,Samantha Sang
1978,15,Lay Down Sally,Eric Clapton
1978,16,Miss You,The Rolling Stones
1978,17,Just The Way You Are,Billy Joel
1978,18,With A Little Luck,Wings
1978,19,If I Can't Have You,Yvonne Elliman
1978,20,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
1978,21,Feels So Good,Chuck Mangione
1978,23,Love Is Like Oxygen,Sweet
1978,24,It's A Heartache,Bonnie Tyler
1978,26,Baker Street,Gerry Rafferty
1978,30,TWO OUT OF THREE AIN't BAD,Meat Loaf
1978,32,Take A Chance On Me,ABBA
1978,33,Sometimes When We Touch,Dan Hill
1978,34,Last Dance,Donna Summer
1978,35,Hopelessly Devoted To You,Olivia Newton-John
1978,36,Hot Blooded,Foreigner
1978,38,The Closer I Get To You,Roberta Flack With Donny Hathaway
1978,39,Dust In The Wind,Kansas
1978,41,Short People,Randy Newman
1978,42,Use Ta Be My Girl,The O'Jays
1978,43,Our Love,Natalie Cole
1978,44,Love Will Find A Way,Pablo Cruise
1978,45,An Everlasting Love,Andy Gibb
1978,46,Love Is In The Air,John Paul Young
1978,47,Goodbye Girl,David Gates
1978,48,Slip Slidin' Away,Paul Simon
1978,49,The Groove Line,"Heatwave
 "
1978,50,Thunder Island,Jay Ferguson
1978,51,Imaginary Lover,Atlanta Rhythm Section
1978,52,Still The Same,Bob Seger & The Silver Bullet Band
1978,53,My Angel Baby,Toby Beau
1978,54,Disco Inferno,The Trammps
1978,55,On Broadway,George Benson
1978,56,Come Sail Away,Styx
1978,58,This Time I'm In It For Love,Player
1978,59,You Belong To Me,Carly Simon
1978,60,Here You Come Again,Dolly Parton
1978,61, Blue Bayou,Linda Ronstadt
1978,62,Peg,Steely Dan
1978,63,You Needed Me,Anne Murray
1978,65,Reminiscing,Little River Band
1978,66,Count On Me,Jefferson Starship
1978,67,Baby Hold On,Eddie Money
1978,68,Hey Deanie,Shaun Cassidy
1978,69,Summer Nights,John Travolta & Olivia Newton-John
1978,70,What's Your Name,Lynyrd Skynyrd
1978,71,Don't It Make My Brown Eyes Blue,Crystal Gayle
1978,73,Every Kinda People,Robert Palmer
1978,74,Copacabana,Barry Manilow
1978,76,You And I,Rick James
1978,77,Serpentine Fire,"Earth, Wind & Fire"
1978,78,Sentimental Lady,Bob Welch
1978,79,Falling,Le Blanc & Carr
1978,80,Don't Let Me Be Misunderstood,"Santa Esmeralda
 "
1978,81,Bluer Than Blue,Michael Johnson
1978,82,Running On Empty,Jackson Browne
1978,85,Get Off,Foxy
1978,87,Life's Been Good,Joe Walsh
1978,89,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy
1978,90,It's So Easy,Linda Ronstadt
1978,91,Native New Yorker,Odyssey
1978,92,Flashlight,Parliament
1978,93,Don't Look Back,Boston
1978,94,Turn To Stone,Electric Light Orchestra
1978,95,I Can't Stand The Rain,Eruption
1978,96,Ebony Eyes,Bob Welch
1978,97,The Name Of The Game,ABBA
1978,98,We're All Alone,Rita Coolidge
1978,99,Hollywood Nights,Bob Seger & The Silver Bullet Band
1978,100,Deacon Blues,Steely Dan
1979,1,My Sharona,The Knack
1979,2,BAD GIRLS,Donna Summer
1979,3,Le Freak,Chic
1979,4,DO YA THINK I'm SEXY,Rod Stewart
1979,5,Reunited,Peaches & Herb
1979,6,I Will Survive,Gloria Gaynor
1979,7,Hot Stuff,Donna Summer
1979,8,Y.M.C.A.,Village People
1979,9,Ring My Bell,Anita Ward
1979,10,Sad Eyes,Robert John
1979,11,Too Much Heaven,Bee Gees
1979,13,When You're In Love With A Beautiful Woman,Dr. Hook
1979,14,Makin' It,David Naughton
1979,15,Fire,The Pointer Sisters
1979,16,Tragedy,Bee Gees
1979,17,A Little More Love,Olivia Newton-John
1979,18,Heart Of Glass,Blondie
1979,19,What A Fool Believes,The Doobie Brothers
1979,20,GOOD TIMES,Chic
1979,21,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond
1979,22,Knock On Wood,Amii Stewart
1979,24,Lead Me On,Maxine Nightingale
1979,26,Don't Cry Out Loud,Melissa Manchester
1979,27,The Logical Song,Supertramp
1979,28,My Life,Billy Joel
1979,29,Just When I Needed You Most,Randy VanWarmer
1979,30,You Can't Change That,Raydio
1979,31,Shake Your Groove Thing,Peaches & Herb
1979,32,I'll Never Love This Way Again,Dionne Warwick
1979,33,Love You Inside Out,Bee Gees
1979,34,I Want You To Want Me,Cheap Trick
1979,35,Main Event,Barbra Streisand
1979,36,Mama Can't Buy You Love,Elton John
1979,37,I Was Made For Dancing,Leif Garrett
1979,38,After The Love Has Gone,"Earth, Wind & Fire"
1979,40,The Gambler,Kenny Rogers
1979,41,Lotta Love,Nicolette Larson
1979,42,Lady,Little River Band
1979,43,Heaven Must Have Sent You,Bonnie Pointer
1979,44,Hold The Line,Toto
1979,45,He's The Greatest Dancer,Sister Sledge
1979,46,Sharing The Night Together,Dr. Hook
1979,47,She Believes In Me,Kenny Rogers
1979,48,In The Navy,Village People
1979,49,Music Box Dancer,Frank Mills
1979,50,The Devil Went Down To Georgia,Charlie Daniels Band
1979,51,Gold,John Stewart
1979,52, Goodnight Tonight,Wings
1979,53,We Are Family,Sister Sledge
1979,54,Rock 'n' Roll Fantasy,Bad Company
1979,55,Every 1's A Winner,Hot Chocolate
1979,56,Take Me Home,Cher
1979,57,Boogie Wonderland,"Earth, Wind & Fire"
1979,58,(Our Love) Don't Throw It All Away,Andy Gibb
1979,59,What You Won't Do For Love,Bobby Caldwell
1979,60,New York Groove,Ace Frehley
1979,61,Sultans Of Swing,Dire Straits
1979,62,I Want Your Love,Chic
1979,65,Ain't No Stoppin' Us Now,McFadden & Whitehead
1979,66,Lonesome Loser,Little River Band
1979,67,Renegade,Styx
1979,68,LOVE IS THE ANSWER,England Dan & John Ford Coley
1979,69,Got To Be Real,Cheryl Lynn
1979,70,Born To Be Alive,Patrick Hernandez
1979,71,Shine A Little Love,Electric Light Orchestra
1979,72,I Just Fall In Love Again,Anne Murray
1979,73,Shake It,Ian Matthews
1979,74,I Was Made For Lovin' You,KISS
1979,75,I Just Wanna Stop,Gino Vannelli
1979,77,Ooh Baby Baby,Linda Ronstadt
1979,78,September,"Earth, Wind & Fire"
1979,79,Time Passages,Al Stewart
1979,80,Rise,Herb Alpert
1979,81,Don't Bring Me Down,Electric Light Orchestra
1979,82,Promises,Eric Clapton
1979,83,Get Used To It,Roger Voudoris
1979,84,How Much I Feel,Ambrosia
1979,85,Suspicions,Eddie Rabbitt
1979,86,You Take My Breath Away,Rex Smith
1979,87,How You Gonna See Me Now,Alice Cooper
1979,88,Double Vision,Foreigner
1979,93,Somewhere In The Night,Barry Manilow
1979,94,We've Got Tonight, Bob Seger
1979,95,Dance The Night Away,Van Halen
1979,96,Dancing Shoes,Nigel Olsson
1979,97,The Boss,Diana Ross
1979,98,Sail On,Commodores
1979,100,Strange Way,Firefall
1980,3,Magic,Olivia Newton-John
1980,4,Rock With You,Michael Jackson
1980,5,Do That To Me One More Time,Captain & Tennille
1980,6,Crazy Little Thing Called Love,Queen
1980,8,Funkytown,Lipps Inc.
1980,10,The Rose,Bette Midler
1980,11,Escape,Rupert Holmes
1980,12,Cars,Gary Numan
1980,13,CRUISIN',Smokey Robinson
1980,15,Lost In Love,Air Supply
1980,16,Little Jeannie,Elton John
1980,17,Ride Like The Wind,Christopher Cross
1980,18,Upside Down,Diana Ross
1980,20,Babe,Styx
1980,21,With You I'm Born Again,Billy Preston & Syreeta
1980,22,Shining Star,The Manhattans
1980,23,Still,Commodores
1980,25,Sexy Eyes,Dr. Hook
1980,26,Steal Away,Robbie Dupree
1980,27,Biggest Part Of Me,Ambrosia
1980,28,This Is It,Kenny Loggins
1980,30,Let's Get Serious,Jermaine Jackson
1980,32,Sailing,Christopher Cross
1980,33,Longer,Dan Fogelberg
1980,34,Coward Of The County,Kenny Rogers
1980,35,Ladies Night,Kool & The Gang
1980,36,TOO HOT,Kool & The Gang
1980,39,More Love,Kim Carnes
1980,40,Pop Muzik,M
1980,41,Brass In Pocket,Pretenders
1980,42,Special Lady,"Ray, Goodman & Brown"
1980,43,Send One Your Love,Stevie Wonder
1980,44,The Second Time Around,Shalamar
1980,45,We Don't Talk Anymore,Cliff Richard
1980,46,Stomp,The Brothers Johnson
1980,47,Heartache Tonight,Eagles
1980,48,Tired Of Toein' The Line,Rocky Burnette
1980,49,Better Love Next Time,Dr. Hook
1980,50,Him,Rupert Holmes
1980,52,On The Radio,Donna Summer
1980,53,Emotional Rescue,The Rolling Stones
1980,54,Rise,Herb Alpert
1980,55,All Out Of Love,Air Supply
1980,56,Cool Change, Little River Band
1980,57,You're Only Lonely,J.D. Souther
1980,58,Desire,Andy Gibb
1980,59,Let My Love Open The Door,Pete Townshend
1980,60,Romeo's Tune,Steve Forbert
1980,61,Daydream Believer,Anne Murray
1980,62,I Can't Tell You Why,Eagles
1980,63,Don't Let Go,Isaac Hayes
1980,65,She's Out Of My Life,Michael Jackson
1980,66,Fame,Irene Cara
1980,68,How Do I Make You,Linda Ronstadt
1980,69,Into The Night,Benny Mardones
1980,70,Let Me Love You Tonight,Pure Prairie League
1980,71,Misunderstanding,Genesis
1980,72,An American Dream,The Dirt Band
1980,73,One Fine Day,Carole King
1980,74,DIM ALL THE LIGHTS,Donna Summer
1980,75,You May Be Right,Billy Joel
1980,76,Should've Never Let You Go,Neil Sedaka & Dara Sedaka
1980,77,Pilot Of The Airwaves,Charlie Dore
1980,78,Hurt So Bad,Linda Ronstadt
1980,79,Off The Wall,Michael Jackson
1980,80,I Pledge My Love,Peaches & Herb
1980,81,The Long Run,Eagles
1980,82,Stand By Me,Mickey Gilley
1980,83,Heartbreaker,Pat Benatar
1980,85,Drivin' My Life Away,Eddie Rabbitt
1980,86,Take The Long Way Home,Supertramp
1980,87,Sara,Fleetwood Mac
1980,89,Jo Jo,Boz Scaggs
1980,90,September Morn',Neil Diamond
1980,91,Give Me The Night,George Benson
1980,92,Broken Hearted Me,Anne Murray
1980,93, You Decorated My Life,Kenny Rogers
1980,94,Tusk,Fleetwood Mac
1980,95,I Wanna Be Your Lover,Prince
1980,96,In America,The Charlie Daniels Band
1980,97,Breakdown Dead Ahead,Boz Scaggs
1980,98,Ships,Barry Manilow
1980,99,All Night Long,Joe Walsh
1981,1,Bette Davis Eyes,Kim Carnes
1981,3,Lady,Kenny Rogers
1981,4,Starting Over,John Lennon
1981,5,Jessie's Girl,Rick Springfield
1981,6,Celebration,Kool & The Gang
1981,8,I Love A Rainy Night,Eddie Rabbitt
1981,9,9 To 5,Dolly Parton
1981,10,Keep On Loving You,REO Speedwagon
1981,12,Morning Train,Sheena Easton
1981,13,Being With You,Smokey Robinson
1981,14,Queen Of Hearts,Juice Newton
1981,15,Rapture,Blondie
1981,16,A Woman Needs Love,Ray Parker Jr. & Raydio
1981,17,The Tide Is High,Blondie
1981,18,Just The Two Of Us,"Grover Washington, Jr. With Bill Withers"
1981,19,Slow Hand,The Pointer Sisters
1981,20,I Love You,Climax Blues Band
1981,21,Woman,John Lennon
1981,22,Sukiyaki,A Taste Of Honey
1981,23,The Winner Takes It All,ABBA
1981,24,Medley,Stars On 45
1981,26,Love On The Rocks,Neil Diamond
1981,27,Every Woman In The World,Air Supply
1981,28,The One That You Love,Air Supply
1981,29,Guilty,Barbra Streisand & Barry Gibb
1981,30,The Best Of Times,Styx
1981,31,Elvira,The Oak Ridge Boys
1981,32,Take It On The Run,REO Speedwagon
1981,35,Woman In Love,Barbra Streisand
1981,37,URGENT,Foreigner
1981,38,Passion,Rod Stewart
1981,39,Lady (You Bring Me Up),Commodores
1981,40,Crying,Don McLean
1981,41,Hearts,Marty Balin
1981,42,It's My Turn,Diana Ross
1981,44,I Don't Need You,Kenny Rogers
1981,45,How 'bout Us,Champaign
1981,46,Hit Me With Your Best Shot,Pat Benatar
1981,48,Time,The Alan Parsons Project
1981,49,Hungry Heart,Bruce Springsteen
1981,50,Sweetheart,Franke & The Knockouts
1981,51,Somebody's Knockin',Terri Gibbs
1981,52,More Than I Can Say,Leo Sayer
1981,53,Together,Tierra
1981,54,Too Much Time On My Hands,Styx
1981,55, What Are We Doin' In Love,Dottie West
1981,56,Who's Crying Now,Journey
1981,57,"De Do Do Do, De Da Da Da",The Police
1981,58,This Little Girl,Gary U.S. Bonds
1981,59,Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers
1981,60,Giving It Up For Your Love,Delbert McClinton
1981,61,A Little In Love,Cliff Richard
1981,62,America,Neil Diamond
1981,63,Ain't Even Done With The Night,John Cougar
1981,64,Arthur's Theme,Christopher Cross
1981,65,Another One Bites The Dust,Queen
1981,66,Games People Play,The Alan Parsons Project
1981,68,While You See A Chance,Steve Winwood
1981,69,Master Blaster,Stevie Wonder
1981,70,Hello Again,Neil Diamond
1981,71,Don't Stand So Close To Me, The Police
1981,72,Hey Nineteen,Steely Dan
1981,73,I Ain't Gonna Stand For It,Stevie Wonder
1981,74,All Those Years Ago,George Harrison
1981,75,Step By Step,Eddie Rabbitt
1981,76,THE STROKE,Billy Squier
1981,77,Feels So Right,Alabama
1981,79,Same Old Lang Syne,Dan Fogelberg
1981,80,Cool Love,Pablo Cruise
1981,81,Hold On Tight,Electric Light Orchestra
1981,82,It's Now Or Never,John Schneider
1981,83,Treat Me Right,Pat Benatar
1981,84,Winning,Santana
1981,85,What Kind Of Fool,Barbra Streisand & Barry Gibb
1981,86,WATCHING THE WHEELS,John Lennon
1981,87,Tell It Like It Is,Heart
1981,88,Smokey Mountain Rain,Ronnie Milsap
1981,89,I Made It Through The Rain,Barry Manilow
1981,91,Suddenly,Olivia Newton-John And Cliff Richard
1981,92,For Your Eyes Only,Sheena Easton
1981,93,The Beach Boys Medley,The Beach Boys
1981,94,Whip It,Devo
1981,95,Modern Girl,Sheena Easton
1981,96,Really Wanna Know You,Gary Wright
1981,97,Seven Year Ache,Rosanne Cash
1981,98,I'm Coming Out,Diana Ross
1981,99,Miss Sun,Boz Scaggs
1981,100,Time Is Time,Andy Gibb
1982,1,Physical,Olivia Newton-John
1982,3,I Love Rock 'N' Roll,Joan Jett & the Blackhearts
1982,6,Don't You Want Me,The Human League
1982,8,Hurts So Good,John Cougar
1982,9,Abracadabra,The Steve Miller Band
1982,10,Hard To Say I'm Sorry,Chicago
1982,11,Tainted Love,Soft Cell
1982,12,Chariots Of Fire,Vangelis
1982,13,Harden My Heart,Quarterflash
1982,14,Rosanna,Toto
1982,16,867-5309/jenny,Tommy Tutone
1982,17,Key Largo,Bertie Higgins
1982,18,You Should Hear How She Talks About You,Melissa Manchester
1982,19,Waiting For A Girl Like You,Foreigner
1982,20,Don't Talk To Strangers,Rick Springfield
1982,21,The Sweetest Thing,Juice Newton
1982,22,Always On My Mind,Willie Nelson
1982,23,Shake It Up,The Cars
1982,24,Let It Whip,Dazz Band
1982,25,We Got The Beat,Go-Go's
1982,26,The Other Woman,Ray Parker Jr.
1982,27,Turn Your Love Around,George Benson
1982,28,Sweet Dreams,Air Supply
1982,29,Only The Lonely,The Motels
1982,31,Hold Me,Fleetwood Mac
1982,32,Eye In The Sky,The Alan Parsons Project
1982,33,Let's Groove,"Earth, Wind & Fire"
1982,34,Open Arms,Journey
1982,35,Leader Of The Band,Dan Fogelberg
1982,36,Leather And Lace,Stevie Nicks With Don Henley
1982,37,Even The Nights Are Better,Air Supply
1982,38,I've Never Been To Me,Charlene
1982,39,65 Love Affair,Paul Davis
1982,40,Heat Of The Moment,Asia
1982,41,Take It Easy On Me,Little River Band
1982,42,Pac-Man Fever,Buckner & Garcia
1982,43,That Girl,Stevie Wonder
1982,45,Trouble,Lindsey Buckingham
1982,46,Making Love,Roberta Flack
1982,47,Love's Been A Little Bit Hard On Me,Juice Newton
1982,48,Young Turks,Rod Stewart
1982,49,Freeze-frame,The J. Geils Band
1982,50,Keep The Fire Burnin',REO Speedwagon
1982,51,Do You Believe In Love,Huey Lewis & The News
1982,52,Cool Night,Paul Davis
1982,54,Why Do Fools Fall In Love,Diana Ross
1982,55,Love In The First Degree,Alabama
1982,56,Hooked On Classics,Royal Philharmonic Orchestra Conducted By Louis Clark
1982,57,Wasted On The Way,"Crosby, Stills & Nash"
1982,58,Think I'm In Love,Eddie Money
1982,59,Love Is In Control (Finger On The Trigger),Donna Summer
1982,60,Personally,Karla Bonoff
1982,61,ONE HUNDRED WAYS,Quincy Jones Featuring James Ingram
1982,62,Blue Eyes,Elton John
1982,63,Our Lips Are Sealed,Go-Go's
1982,64,You Could Have Been With Me,Sheena Easton
1982,65,You Can Do Magic,America
1982,67,I Ran,A Flock Of Seagulls
1982,68,Somebody's Baby,Jackson Browne
1982,69,Oh No,Commodores
1982,70,Take It Away,Paul McCartney
1982,71,It's Gonna Take A Miracle,Deniece Williams
1982,72,Love Will Turn You Around,Kenny Rogers
1982,73,Don't Stop Believin',Journey
1982,74,Comin' In And Out Of Your Life,Barbra Streisand
1982,75,Gloria,Laura Branigan
1982,76,"Empty Garden
 ",Elton John
1982,77,Yesterday's Songs,Neil Diamond
1982,78,Crimson And Clover,Joan Jett & the Blackhearts
1982,79,Every Little Thing She Does Is Magic,The Police
1982,80,Here I Am,Air Supply
1982,81,I Keep Forgettin' (every Time You're Near),Michael McDonald
1982,82,Get Down On It,Kool & The Gang
1982,83,Any Day Now,Ronnie Milsap
1982,84,Make A Move On Me,Olivia Newton-John
1982,85,Take My Heart,Kool & The Gang
1982,86,Mirror Mirror,Diana Ross
1982,87,Vacation,Go-Go's
1982,88,Oh Pretty Woman,Van Halen
1982,89,Should I Do It,The Pointer Sisters
1982,90, Hot In The City,Billy Idol
1982,91,Kids In America,Kim Wilde
1982,92,Man On Your Mind,Little River Band
1982,93,What's Forever For,Michael Murphey
1982,94,WAITING ON A FRIEND,The Rolling Stones
1982,95,Do I Do,Stevie Wonder
1982,96,Working For The Weekend,Loverboy
1982,97,Goin' Down,Greg Guidry
1982,98,Arthur's Theme,Christopher Cross
1982,99,Through The Years,Kenny Rogers
1983,1,Every Breath You Take,The Police
1983,2,Billie Jean,Michael Jackson
1983,4,Down Under,Men At Work
1983,5,Beat It,Michael Jackson
1983,6,Total Eclipse Of The Heart,Bonnie Tyler
1983,9,Maniac,Michael Sembello
1983,10,Sweet Dreams (Are Made Of This),Eurythmics
1983,11,Do You Really Want To Hurt Me,Culture Club
1983,12,You And I,Eddie Rabbitt With Crystal Gayle
1983,14,Shame On The Moon,Bob Seger & The Silver Bullet Band
1983,15,She Works Hard For The Money,Donna Summer
1983,16,Never Gonna Let You Go,Sergio Mendes
1983,17,Hungry Like The Wolf,Duran Duran
1983,18,Let's Dance,David Bowie
1983,19,Twilight Zone,Golden Earring
1983,20,I Know There's Something Going On,Frida
1983,22,Electric Avenue,Eddy Grant
1983,23,She Blinded Me With Science,Thomas Dolby
1983,24,Africa,Toto
1983,25,Little Red Corvette,Prince
1983,28,Mr. Roboto,Styx
1983,29,You Are,Lionel Richie
1983,31,Puttin' On The Ritz,Taco
1983,32,Sexual Healing,Marvin Gaye
1983,33,(Keep Feeling) Fascination,The Human League
1983,35,The Safety Dance,Men Without Hats
1983,36,Mickey,Toni Basil
1983,37,You Can't Hurry Love,Phil Collins
1983,38,Separate Ways,Journey
1983,41,1999,Prince
1983,42,Stray Cat Strut,Stray Cats
1983,43,Allentown,Billy Joel
1983,44,Stand Back,Stevie Nicks
1983,45,Tell Her About It,Billy Joel
1983,46,Always Something There To Remind Me,Naked Eyes
1983,47,Truly,Lionel Richie
1983,48,DIRTY LAUNDRY,Don Henley
1983,50,Too Shy,Kajagoogoo
1983,51,Goody Two Shoes,Adam Ant
1983,52,Rock The Casbah,The Clash
1983,53,OUR HOUSE,Madness
1983,54,Overkill,Men At Work
1983,55,Is There Something I Should Know,Duran Duran
1983,56,Gloria,Laura Branigan
1983,57,Affair Of The Heart,Rick Springfield
1983,58,She's A Beauty,The Tubes
1983,59,Solitaire,Laura Branigan
1983,60,Don't Let It End,Styx
1983,61,HOW AM I SUPPOSED TO LIVE WITHOUT YOU,Laura Branigan
1983,62,China Girl,David Bowie
1983,63,Come Dancing,The Kinks
1983,64,"Promises, Promises",Naked Eyes
1983,65,The Other Guy,Little River Band
1983,66,MAKING LOVE OUT OF NOTHING AT ALL,Air Supply
1983,69,I Won't Hold You Back,Toto
1983,70,All Right,Christopher Cross
1983,71,Straight From The Heart,Bryan Adams
1983,72,Heart To Heart,Kenny Loggins
1983,73,My Love,Lionel Richie
1983,74,I'm Still Standing,Elton John
1983,75,Hot Girls In Love,Loverboy
1983,76,It's A Mistake,Men At Work
1983,77,I'll Tumble 4 Ya,Culture Club
1983,78,All This Love,Debarge
1983,79,Your Love Is Driving Me Crazy,Sammy Hagar
1983,80,Heartbreaker,Dionne Warwick
1983,81,Faithfully,Journey
1983,82,Steppin' Out,Joe Jackson
1983,83,Take Me To Heart,Quarterflash
1983,84,(she's) Sexy + 17,Stray Cats
1983,85,Try Again,Champaign
1983,86,Dead Giveaway,Shalamar
1983,87,Lawyers In Love,Jackson Browne
1983,"88
 ",What About Me,Moving Pictures
1983,89,Human Nature,Michael Jackson
1983,90,Photograph,Def Leppard
1983,91,Pass The Dutchie,Musical Youth
1983,92,True,Spandau Ballet
1983,93,Far From Over,Frank Stallone
1983,95,"It Might Be You (Theme From ""Tootsie"")",Stephen Bishop
1983,96,"Tonight, I Celebrate My Love",Peabo Bryson & Roberta Flack
1983,99,Breaking Us In Two,Joe Jackson
1983,100,Fall In Love With Me,"Earth, Wind & Fire
 "
1984,1,When Doves Cry,Prince
1984,2,What's Love Got To Do With It,Tina Turner
1984,4,Footloose,Kenny Loggins
1984,5,Against All Odds (Take A Look At Me Now),Phil Collins
1984,6,Jump,Van Halen
1984,7,Hello,Lionel Richie
1984,9,Ghostbusters,Ray Parker Jr.
1984,10,KARMA CHAMELEON,Culture Club
1984,11,Missing You,John Waite
1984,12,All Night Long (All Night),Lionel Richie
1984,13,Let's Hear It For The Boy,Deniece Williams
1984,14,Dancing In The Dark,Bruce Springsteen
1984,15,Girls Just Want To Have Fun,Cyndi Lauper
1984,16,The Reflex,Duran Duran
1984,17,Time After Time,Cyndi Lauper
1984,18,Jump (for My Love),The Pointer Sisters
1984,19,Talking In Your Sleep,The Romantics
1984,20,Self Control,Laura Branigan
1984,21,Let's Go Crazy,Prince And The Revolution
1984,23,Hold Me Now,Thompson Twins
1984,24,Joanna,Kool & The Gang
1984,25,I Just Called To Say I Love You,Stevie Wonder
1984,26,Somebody's Watching Me,Rockwell
1984,27,Break My Stride,Matthew Wilder
1984,28,99 Luftballons,Nena
1984,29,I Can Dream About You,Dan Hartman
1984,30,The Glamorous Life,Sheila E.
1984,31,Oh Sherrie,Steve Perry
1984,32,Stuck On You,Lionel Richie
1984,33,I Guess That's Why They Call It The Blues,Elton John
1984,34,She Bop,Cyndi Lauper
1984,35,Borderline,Madonna
1984,36,Sunglasses At Night,Corey Hart
1984,37,Eyes Without A Face,Billy Idol
1984,38,Here Comes The Rain Again,Eurythmics
1984,39,Uptown Girl,Billy Joel
1984,40,Sister Christian,Night Ranger
1984,41,Drive,The Cars
1984,42,Twist of Fate,Olivia Newton-John
1984,43,UNION OF THE SNAKE,Duran Duran
1984,45,Hard Habit To Break,Chicago
1984,46,The Warrior,Scandal Featuring Patty Smyth
1984,47,If Ever You're In My Arms Again,Peabo Bryson
1984,48,Automatic,The Pointer Sisters
1984,49,LET THE MUSIC PLAY,Shannon
1984,50,To All The Girls I've Loved Before,Julio Iglesias & Willie Nelson
1984,52,That's All,Genesis
1984,53,Running With The Night,Lionel Richie
1984,54,Sad Songs (Say So Much),Elton John
1984,55,I Want A New Drug,Huey Lewis & The News
1984,57,Love Is A Battlefield,Pat Benatar
1984,58,Infatuation,Rod Stewart
1984,60,Legs,ZZ Top
1984,62,Love Somebody,Rick Springfield
1984,63,MISS ME BLIND,Culture Club
1984,64,If This Is It,Huey Lewis & The News
1984,65,You Might Think,The Cars
1984,66,Lucky Star,Madonna
1984,67,Cover Me,Bruce Springsteen
1984,68,Cum On Feel The Noize,Quiet Riot
1984,69,Breakdance,Irene Cara
1984,71,They Don't Know,Tracey Ullman
1984,72,An Innocent Man,Billy Joel
1984,73,Cruel Summer,Bananarama
1984,74,Dance Hall Days,Wang Chung
1984,76,I'm So Excited,The Pointer Sisters
1984,77,I Still Can't Get Over Loving You,Ray Parker Jr.
1984,79,Holiday,Madonna
1984,81,Nobody Told Me,John Lennon
1984,82,Church Of The Poison Mind,Culture Club
1984,83,Think Of Laura,Christopher Cross
1984,84,Time Will Reveal,Debarge
1984,85,Wrapped Around Your Finger,The Police
1984,87,Round And Round,Ratt
1984,88,Head Over Heels,Go-Go's
1984,89,The Longest Time,Billy Joel
1984,90,Tonight,Kool & The Gang
1984,91,Got A Hold On Me,Christine McVie
1984,92,Dancing In The Sheets,Shalamar
1984,93,UNDERCOVER OF THE NIGHT,The Rolling Stones
1984,94,On The Dark Side,John Cafferty & The Beaver Brown Band
1984,95,New Moon On Monday,Duran Duran
1984,96,Major Tom (Coming Home),Peter Schilling
1984,97,Magic,The Cars
1984,98,When You Close Your Eyes,Night Ranger
1984,99,Rock Me Tonite,Billy Squier
1984,100,Yah Mo Be There,James Ingram With Michael McDonald
1985,2,Like A Virgin,Madonna
1985,3,Wake Me Up Before You Go-Go,Wham!
1985,4,I Want To Know What Love Is,Foreigner
1985,5,I Feel For You,Chaka Khan
1985,7,Everybody Wants To Rule The World,Tears For Fears
1985,8,Money For Nothing,Dire Straits
1985,9,Crazy For You,Madonna
1985,10,Take On Me,a-ha
1985,11,Everytime You Go Away,Paul Young
1985,12, Easy Lover,Philip Bailey With Phil Collins
1985,13,Can't Fight This Feeling,REO Speedwagon
1985,14,We Built This City,Starship
1985,15,The Power Of Love,Huey Lewis & The News
1985,16, Don't You (Forget About Me),Simple Minds
1985,17,Cherish,Kool & The Gang
1985,18,St. Elmo's Fire (Man In Motion),John Parr
1985,19,The Heat Is On,Glenn Frey
1985,20,We Are The World,USA For Africa
1985,21,Shout,Tears For Fears
1985,22,Part-Time Lover,Stevie Wonder
1985,23,Saving All My Love For You,Whitney Houston
1985,24,Heaven,Bryan Adams
1985,25,Everything She Wants,Wham!
1985,26,Cool It Now,New Edition
1985,27,Miami Vice Theme,Jan Hammer
1985,28,Loverboy,Billy Ocean
1985,29,Lover Girl,Teena Marie
1985,30,You Belong To The City,Glenn Frey
1985,31,Oh Sheila,Ready For The World
1985,32,Rhythm Of The Night,Debarge
1985,33,One More Night,Phil Collins
1985,34,Sea Of Love,The Honeydrippers
1985,35,A View To A Kill,Duran Duran
1985,36,The Wild Boys,Duran Duran
1985,37,You're The Inspiration,Chicago
